humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,skeptic_fraction,p_share,bot_fraction,factcheck_fraction,initial_spreaders,run,cascade
300,0.03666666666666667,0.3,0.023333333333333334,0.08,5,9,0.0,0.1,0.0,0.0,3,0,False
300,0.04,0.25666666666666665,0.023333333333333334,0.06666666666666667,6,2,0.0,0.1,0.0,0.0,3,1,False
300,0.09,0.43,0.06333333333333334,0.15,10,4,0.0,0.1,0.0,0.0,3,2,False
300,0.043333333333333335,0.24666666666666667,0.023333333333333334,0.11333333333333333,6,5,0.0,0.1,0.0,0.0,3,3,False
300,0.01,0.05,0.006666666666666667,0.006666666666666667,3,0,0.0,0.1,0.0,0.0,3,4,False
300,0.023333333333333334,0.08666666666666667,0.02,0.01,3,0,0.0,0.1,0.0,0.0,3,5,False
300,0.03,0.17,0.013333333333333334,0.06666666666666667,5,1,0.0,0.1,0.0,0.0,3,6,False
300,0.03,0.12,0.016666666666666666,0.043333333333333335,6,1,0.0,0.1,0.0,0.0,3,7,False
300,0.11,0.55,0.07333333333333333,0.11666666666666667,13,12,0.0,0.1,0.0,0.0,3,8,False
300,0.03333333333333333,0.30333333333333334,0.016666666666666666,0.06,8,2,0.0,0.1,0.0,0.0,3,9,False
300,0.01,0.03333333333333333,0.01,0.0,3,0,0.0,0.1,0.0,0.0,3,10,False
300,0.04,0.22666666666666666,0.02,0.08333333333333333,5,6,0.0,0.1,0.0,0.0,3,11,False
300,0.03,0.16,0.023333333333333334,0.02,4,2,0.0,0.1,0.0,0.0,3,12,False
300,0.07333333333333333,0.31666666666666665,0.056666666666666664,0.11,12,6,0.0,0.1,0.0,0.0,3,13,False
300,0.02666666666666667,0.19,0.023333333333333334,0.013333333333333334,4,2,0.0,0.1,0.0,0.0,3,14,False
300,0.07,0.43,0.04,0.12666666666666668,9,7,0.0,0.1,0.0,0.0,3,15,False
300,0.013333333333333334,0.04666666666666667,0.01,0.006666666666666667,4,2,0.0,0.1,0.0,0.0,3,16,False
300,0.01,0.03333333333333333,0.0033333333333333335,0.016666666666666666,3,0,0.0,0.1,0.0,0.0,3,17,False
300,0.03666666666666667,0.21666666666666667,0.02666666666666667,0.05333333333333334,5,6,0.0,0.1,0.0,0.0,3,18,False
300,0.02,0.11666666666666667,0.006666666666666667,0.06333333333333334,5,2,0.0,0.1,0.0,0.0,3,19,False
300,0.09,0.3933333333333333,0.05,0.15666666666666668,14,3,0.0,0.1,0.0,0.0,3,20,False
300,0.01,0.03,0.01,0.0033333333333333335,3,0,0.0,0.1,0.0,0.0,3,21,False
300,0.023333333333333334,0.10666666666666667,0.016666666666666666,0.016666666666666666,7,2,0.0,0.1,0.0,0.0,3,22,False
300,0.01,0.043333333333333335,0.01,0.0,3,0,0.0,0.1,0.0,0.0,3,23,False
300,0.02666666666666667,0.18333333333333332,0.023333333333333334,0.01,8,2,0.0,0.1,0.0,0.0,3,24,False
300,0.016666666666666666,0.08,0.016666666666666666,0.0,4,2,0.0,0.1,0.0,0.0,3,25,False
300,0.13,0.6033333333333334,0.07333333333333333,0.15666666666666668,14,9,0.0,0.1,0.0,0.0,3,26,False
300,0.03666666666666667,0.16,0.023333333333333334,0.03333333333333333,7,2,0.0,0.1,0.0,0.0,3,27,False
300,0.01,0.04,0.0033333333333333335,0.01,3,0,0.0,0.1,0.0,0.0,3,28,False
300,0.043333333333333335,0.23666666666666666,0.02666666666666667,0.07666666666666666,9,4,0.0,0.1,0.0,0.0,3,29,False
300,0.09,0.44,0.07,0.13,9,19,0.0,0.15,0.0,0.0,3,0,False
300,0.14333333333333334,0.5133333333333333,0.1,0.19,16,8,0.0,0.15,0.0,0.0,3,1,False
300,0.15666666666666668,0.6266666666666667,0.06333333333333334,0.3233333333333333,23,5,0.0,0.15,0.0,0.0,3,2,False
300,0.15333333333333332,0.59,0.09,0.20333333333333334,19,5,0.0,0.15,0.0,0.0,3,3,False
300,0.09333333333333334,0.37333333333333335,0.06666666666666667,0.12,8,12,0.0,0.15,0.0,0.0,3,4,False
300,0.023333333333333334,0.08666666666666667,0.02,0.01,3,0,0.0,0.15,0.0,0.0,3,5,False
300,0.13,0.5033333333333333,0.09666666666666666,0.11333333333333333,12,8,0.0,0.15,0.0,0.0,3,6,False
