humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,bot_fraction,factcheck_fraction,run,cascade,scenario
300,0.04666666666666667,0.21666666666666667,0.02666666666666667,0.07,6,8,0.0,0.0,0,False,Без ботов
300,0.16333333333333333,0.6066666666666667,0.08666666666666667,0.29333333333333333,21,10,0.0,0.0,1,False,Без ботов
300,0.0033333333333333335,0.01,0.0033333333333333335,0.0033333333333333335,1,0,0.0,0.0,2,False,Без ботов
300,0.04666666666666667,0.24333333333333335,0.023333333333333334,0.07333333333333333,4,8,0.0,0.0,3,False,Без ботов
300,0.08333333333333333,0.4033333333333333,0.03666666666666667,0.16333333333333333,8,5,0.0,0.0,4,False,Без ботов
300,0.0033333333333333335,0.01,0.0,0.01,1,0,0.0,0.0,5,False,Без ботов
300,0.0033333333333333335,0.016666666666666666,0.0033333333333333335,0.0,1,0,0.0,0.0,6,False,Без ботов
300,0.0033333333333333335,0.013333333333333334,0.0033333333333333335,0.0,1,0,0.0,0.0,7,False,Без ботов
300,0.09666666666666666,0.3466666666666667,0.056666666666666664,0.15,10,12,0.0,0.0,8,False,Без ботов
300,0.0033333333333333335,0.01,0.0,0.006666666666666667,1,0,0.0,0.0,9,False,Без ботов
300,0.02,0.09,0.006666666666666667,0.03,2,4,0.0,0.0,10,False,Без ботов
300,0.006666666666666667,0.02,0.006666666666666667,0.0,2,1,0.0,0.0,11,False,Без ботов
300,0.16666666666666666,0.6066666666666667,0.05,0.37666666666666665,28,9,0.0,0.0,12,False,Без ботов
300,0.01,0.023333333333333334,0.01,0.0033333333333333335,3,1,0.0,0.0,13,False,Без ботов
300,0.0033333333333333335,0.006666666666666667,0.0033333333333333335,0.0,1,0,0.0,0.0,14,False,Без ботов
300,0.0033333333333333335,0.01,0.0033333333333333335,0.0,1,0,0.0,0.0,15,False,Без ботов
300,0.12,0.4533333333333333,0.08,0.17333333333333334,8,6,0.0,0.0,16,False,Без ботов
300,0.0033333333333333335,0.01,0.0033333333333333335,0.0033333333333333335,1,0,0.0,0.0,17,False,Без ботов
300,0.0033333333333333335,0.01,0.0033333333333333335,0.0,1,0,0.0,0.0,18,False,Без ботов
300,0.03,0.15333333333333332,0.01,0.06,5,3,0.0,0.0,19,False,Без ботов
300,0.07,0.27,0.04,0.13,9,7,0.0,0.0,20,False,Без ботов
300,0.056666666666666664,0.29333333333333333,0.023333333333333334,0.10666666666666667,7,6,0.0,0.0,21,False,Без ботов
300,0.06666666666666667,0.3466666666666667,0.04,0.12,11,4,0.0,0.0,22,False,Без ботов
300,0.0033333333333333335,0.013333333333333334,0.0033333333333333335,0.0,1,0,0.0,0.0,23,False,Без ботов
300,0.0033333333333333335,0.013333333333333334,0.0033333333333333335,0.0,1,0,0.0,0.0,24,False,Без ботов
300,0.0033333333333333335,0.013333333333333334,0.0,0.01,1,0,0.0,0.0,25,False,Без ботов
300,0.12666666666666668,0.47333333333333333,0.07333333333333333,0.24,19,7,0.0,0.0,26,False,Без ботов
300,0.006666666666666667,0.02,0.006666666666666667,0.0,2,2,0.0,0.0,27,False,Без ботов
300,0.04,0.17333333333333334,0.023333333333333334,0.05,5,8,0.0,0.0,28,False,Без ботов
300,0.006666666666666667,0.023333333333333334,0.0033333333333333335,0.016666666666666666,2,1,0.0,0.0,29,False,Без ботов
