humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,bot_fraction,factcheck_fraction,factcheck_placement,run,cascade,scenario
276,0.15217391304347827,0.5797101449275363,0.07246376811594203,0.391304347826087,14,4,0.05,0.03,hubs,0,False,5% ботов + 3% фактчекеров в хабах
276,0.13405797101449277,0.4528985507246377,0.05434782608695652,0.34057971014492755,17,4,0.05,0.03,hubs,1,False,5% ботов + 3% фактчекеров в хабах
276,0.11956521739130435,0.4855072463768116,0.05434782608695652,0.32971014492753625,13,2,0.05,0.03,hubs,2,False,5% ботов + 3% фактчекеров в хабах
276,0.11594202898550725,0.38405797101449274,0.050724637681159424,0.2536231884057971,14,3,0.05,0.03,hubs,3,False,5% ботов + 3% фактчекеров в хабах
276,0.14855072463768115,0.532608695652174,0.05434782608695652,0.38405797101449274,17,3,0.05,0.03,hubs,4,False,5% ботов + 3% фактчекеров в хабах
276,0.15217391304347827,0.5072463768115942,0.07608695652173914,0.322463768115942,19,4,0.05,0.03,hubs,5,False,5% ботов + 3% фактчекеров в хабах
276,0.12681159420289856,0.4492753623188406,0.057971014492753624,0.27898550724637683,13,2,0.05,0.03,hubs,6,False,5% ботов + 3% фактчекеров в хабах
276,0.14130434782608695,0.5253623188405797,0.057971014492753624,0.3695652173913043,15,6,0.05,0.03,hubs,7,False,5% ботов + 3% фактчекеров в хабах
276,0.15579710144927536,0.4927536231884058,0.09420289855072464,0.31521739130434784,13,5,0.05,0.03,hubs,8,False,5% ботов + 3% фактчекеров в хабах
276,0.09782608695652174,0.4166666666666667,0.03985507246376811,0.32608695652173914,12,2,0.05,0.03,hubs,9,False,5% ботов + 3% фактчекеров в хабах
276,0.09782608695652174,0.39492753623188404,0.057971014492753624,0.2427536231884058,6,9,0.05,0.03,hubs,10,False,5% ботов + 3% фактчекеров в хабах
276,0.16304347826086957,0.5108695652173914,0.07246376811594203,0.358695652173913,20,3,0.05,0.03,hubs,11,False,5% ботов + 3% фактчекеров в хабах
276,0.15942028985507245,0.5072463768115942,0.09057971014492754,0.31521739130434784,14,3,0.05,0.03,hubs,12,False,5% ботов + 3% фактчекеров в хабах
276,0.12318840579710146,0.463768115942029,0.04710144927536232,0.33695652173913043,9,2,0.05,0.03,hubs,13,False,5% ботов + 3% фактчекеров в хабах
276,0.14492753623188406,0.5036231884057971,0.09057971014492754,0.3188405797101449,13,3,0.05,0.03,hubs,14,False,5% ботов + 3% фактчекеров в хабах
276,0.11956521739130435,0.44565217391304346,0.04710144927536232,0.27898550724637683,12,3,0.05,0.03,hubs,15,False,5% ботов + 3% фактчекеров в хабах
276,0.18478260869565216,0.5688405797101449,0.09057971014492754,0.32608695652173914,18,6,0.05,0.03,hubs,16,False,5% ботов + 3% фактчекеров в хабах
276,0.13043478260869565,0.39855072463768115,0.09420289855072464,0.2427536231884058,10,4,0.05,0.03,hubs,17,False,5% ботов + 3% фактчекеров в хабах
276,0.14492753623188406,0.5108695652173914,0.08333333333333333,0.3115942028985507,18,3,0.05,0.03,hubs,18,False,5% ботов + 3% фактчекеров в хабах
276,0.06884057971014493,0.29347826086956524,0.04710144927536232,0.18478260869565216,7,3,0.05,0.03,hubs,19,False,5% ботов + 3% фактчекеров в хабах
276,0.16666666666666666,0.4927536231884058,0.08333333333333333,0.322463768115942,16,2,0.05,0.03,hubs,20,False,5% ботов + 3% фактчекеров в хабах
276,0.11231884057971014,0.5,0.050724637681159424,0.35144927536231885,15,2,0.05,0.03,hubs,21,False,5% ботов + 3% фактчекеров в хабах
276,0.19202898550724637,0.572463768115942,0.09057971014492754,0.3695652173913043,24,4,0.05,0.03,hubs,22,False,5% ботов + 3% фактчекеров в хабах
276,0.13768115942028986,0.4746376811594203,0.06884057971014493,0.29347826086956524,12,3,0.05,0.03,hubs,23,False,5% ботов + 3% фактчекеров в хабах
276,0.16304347826086957,0.4963768115942029,0.07246376811594203,0.37318840579710144,15,4,0.05,0.03,hubs,24,False,5% ботов + 3% фактчекеров в хабах
276,0.15579710144927536,0.532608695652174,0.07608695652173914,0.40942028985507245,11,3,0.05,0.03,hubs,25,False,5% ботов + 3% фактчекеров в хабах
276,0.12318840579710146,0.4420289855072464,0.057971014492753624,0.3188405797101449,13,3,0.05,0.03,hubs,26,False,5% ботов + 3% фактчекеров в хабах
276,0.16304347826086957,0.5471014492753623,0.057971014492753624,0.42391304347826086,20,3,0.05,0.03,hubs,27,False,5% ботов + 3% фактчекеров в хабах
276,0.19202898550724637,0.5978260869565217,0.11956521739130435,0.3115942028985507,15,2,0.05,0.03,hubs,28,False,5% ботов + 3% фактчекеров в хабах
276,0.09057971014492754,0.37681159420289856,0.043478260869565216,0.25,7,3,0.05,0.03,hubs,29,False,5% ботов + 3% фактчекеров в хабах
