humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,bot_fraction,factcheck_fraction,factcheck_placement,run,cascade,bots,factcheck
300,0.04666666666666667,0.21666666666666667,0.02666666666666667,0.07,6,8,0.0,0.0,hubs,0,False,0%,без фактчекеров
300,0.16333333333333333,0.6066666666666667,0.08666666666666667,0.29333333333333333,21,10,0.0,0.0,hubs,1,False,0%,без фактчекеров
300,0.0033333333333333335,0.01,0.0033333333333333335,0.0033333333333333335,1,0,0.0,0.0,hubs,2,False,0%,без фактчекеров
300,0.04666666666666667,0.24333333333333335,0.023333333333333334,0.07333333333333333,4,8,0.0,0.0,hubs,3,False,0%,без фактчекеров
300,0.08333333333333333,0.4033333333333333,0.03666666666666667,0.16333333333333333,8,5,0.0,0.0,hubs,4,False,0%,без фактчекеров
300,0.0033333333333333335,0.01,0.0,0.01,1,0,0.0,0.0,hubs,5,False,0%,без фактчекеров
300,0.0033333333333333335,0.016666666666666666,0.0033333333333333335,0.0,1,0,0.0,0.0,hubs,6,False,0%,без фактчекеров
300,0.0033333333333333335,0.013333333333333334,0.0033333333333333335,0.0,1,0,0.0,0.0,hubs,7,False,0%,без фактчекеров
300,0.09666666666666666,0.3466666666666667,0.056666666666666664,0.15,10,12,0.0,0.0,hubs,8,False,0%,без фактчекеров
300,0.0033333333333333335,0.01,0.0,0.006666666666666667,1,0,0.0,0.0,hubs,9,False,0%,без фактчекеров
300,0.02,0.09,0.006666666666666667,0.03,2,4,0.0,0.0,hubs,10,False,0%,без фактчекеров
300,0.006666666666666667,0.02,0.006666666666666667,0.0,2,1,0.0,0.0,hubs,11,False,0%,без фактчекеров
300,0.16666666666666666,0.6066666666666667,0.05,0.37666666666666665,28,9,0.0,0.0,hubs,12,False,0%,без фактчекеров
300,0.01,0.023333333333333334,0.01,0.0033333333333333335,3,1,0.0,0.0,hubs,13,False,0%,без фактчекеров
300,0.0033333333333333335,0.006666666666666667,0.0033333333333333335,0.0,1,0,0.0,0.0,hubs,14,False,0%,без фактчекеров
300,0.0033333333333333335,0.01,0.0033333333333333335,0.0,1,0,0.0,0.0,hubs,15,False,0%,без фактчекеров
300,0.12,0.4533333333333333,0.08,0.17333333333333334,8,6,0.0,0.0,hubs,16,False,0%,без фактчекеров
300,0.0033333333333333335,0.01,0.0033333333333333335,0.0033333333333333335,1,0,0.0,0.0,hubs,17,False,0%,без фактчекеров
300,0.0033333333333333335,0.01,0.0033333333333333335,0.0,1,0,0.0,0.0,hubs,18,False,0%,без фактчекеров
300,0.03,0.15333333333333332,0.01,0.06,5,3,0.0,0.0,hubs,19,False,0%,без фактчекеров
300,0.07,0.27,0.04,0.13,9,7,0.0,0.0,hubs,20,False,0%,без фактчекеров
300,0.056666666666666664,0.29333333333333333,0.023333333333333334,0.10666666666666667,7,6,0.0,0.0,hubs,21,False,0%,без фактчекеров
300,0.06666666666666667,0.3466666666666667,0.04,0.12,11,4,0.0,0.0,hubs,22,False,0%,без фактчекеров
300,0.0033333333333333335,0.013333333333333334,0.0033333333333333335,0.0,1,0,0.0,0.0,hubs,23,False,0%,без фактчекеров
300,0.0033333333333333335,0.013333333333333334,0.0033333333333333335,0.0,1,0,0.0,0.0,hubs,24,False,0%,без фактчекеров
300,0.0033333333333333335,0.013333333333333334,0.0,0.01,1,0,0.0,0.0,hubs,25,False,0%,без фактчекеров
300,0.12666666666666668,0.47333333333333333,0.07333333333333333,0.24,19,7,0.0,0.0,hubs,26,False,0%,без фактчекеров
300,0.006666666666666667,0.02,0.006666666666666667,0.0,2,2,0.0,0.0,hubs,27,False,0%,без фактчекеров
300,0.04,0.17333333333333334,0.023333333333333334,0.05,5,8,0.0,0.0,hubs,28,False,0%,без фактчекеров
300,0.006666666666666667,0.023333333333333334,0.0033333333333333335,0.016666666666666666,2,1,0.0,0.0,hubs,29,False,0%,без фактчекеров
297,0.18518518518518517,0.6296296296296297,0.13468013468013468,0.21212121212121213,14,13,0.01,0.0,hubs,0,False,1%,без фактчекеров
297,0.18855218855218855,0.6296296296296297,0.10437710437710437,0.3063973063973064,18,6,0.01,0.0,hubs,1,False,1%,без фактчекеров
297,0.050505050505050504,0.2828282828282828,0.026936026936026935,0.1111111111111111,9,5,0.01,0.0,hubs,2,False,1%,без фактчекеров
297,0.15488215488215487,0.5454545454545454,0.07407407407407407,0.27946127946127947,15,5,0.01,0.0,hubs,3,False,1%,без фактчекеров
297,0.1750841750841751,0.5959595959595959,0.11447811447811448,0.24579124579124578,17,6,0.01,0.0,hubs,4,False,1%,без фактчекеров
297,0.037037037037037035,0.1750841750841751,0.010101010101010102,0.12121212121212122,6,3,0.01,0.0,hubs,5,False,1%,без фактчекеров
297,0.06734006734006734,0.24579124579124578,0.05387205387205387,0.08417508417508418,9,6,0.01,0.0,hubs,6,False,1%,без фактчекеров
297,0.13804713804713806,0.5420875420875421,0.09764309764309764,0.23905723905723905,11,2,0.01,0.0,hubs,7,False,1%,без фактчекеров
297,0.13804713804713806,0.48148148148148145,0.0707070707070707,0.21885521885521886,23,5,0.01,0.0,hubs,8,False,1%,без фактчекеров
297,0.16161616161616163,0.5488215488215489,0.09427609427609428,0.24579124579124578,13,7,0.01,0.0,hubs,9,False,1%,без фактчекеров
297,0.19865319865319866,0.6531986531986532,0.13131313131313133,0.27946127946127947,19,15,0.01,0.0,hubs,10,False,1%,без фактчекеров
297,0.2895622895622896,0.7912457912457912,0.14814814814814814,0.37373737373737376,34,5,0.01,0.0,hubs,11,True,1%,без фактчекеров
297,0.09090909090909091,0.4107744107744108,0.04377104377104377,0.18855218855218855,7,16,0.01,0.0,hubs,12,False,1%,без фактчекеров
297,0.12794612794612795,0.5353535353535354,0.07407407407407407,0.23905723905723905,16,14,0.01,0.0,hubs,13,False,1%,без фактчекеров
297,0.18181818181818182,0.5925925925925926,0.10437710437710437,0.24242424242424243,21,5,0.01,0.0,hubs,14,False,1%,без фактчекеров
297,0.14814814814814814,0.5723905723905723,0.09090909090909091,0.23905723905723905,17,7,0.01,0.0,hubs,15,False,1%,без фактчекеров
297,0.1111111111111111,0.47474747474747475,0.030303030303030304,0.26936026936026936,15,5,0.01,0.0,hubs,16,False,1%,без фактчекеров
297,0.1447811447811448,0.6127946127946128,0.05723905723905724,0.28619528619528617,20,5,0.01,0.0,hubs,17,False,1%,без фактчекеров
297,0.10774410774410774,0.468013468013468,0.05723905723905724,0.24242424242424243,14,9,0.01,0.0,hubs,18,False,1%,без фактчекеров
297,0.2053872053872054,0.7037037037037037,0.08754208754208755,0.39057239057239057,24,11,0.01,0.0,hubs,19,True,1%,без фактчекеров
297,0.11784511784511785,0.45791245791245794,0.06397306397306397,0.21212121212121213,13,3,0.01,0.0,hubs,20,False,1%,без фактчекеров
297,0.1414141414141414,0.5555555555555556,0.09090909090909091,0.21212121212121213,12,18,0.01,0.0,hubs,21,False,1%,без фактчекеров
297,0.16498316498316498,0.5824915824915825,0.08754208754208755,0.29292929292929293,20,12,0.01,0.0,hubs,22,False,1%,без фактчекеров
297,0.13804713804713806,0.5185185185185185,0.08080808080808081,0.2558922558922559,10,11,0.01,0.0,hubs,23,False,1%,без фактчекеров
297,0.10437710437710437,0.32996632996632996,0.08754208754208755,0.1111111111111111,14,8,0.01,0.0,hubs,24,False,1%,без фактчекеров
297,0.1447811447811448,0.531986531986532,0.08417508417508418,0.2255892255892256,11,19,0.01,0.0,hubs,25,False,1%,без фактчекеров
297,0.13131313131313133,0.5218855218855218,0.06397306397306397,0.2760942760942761,10,6,0.01,0.0,hubs,26,False,1%,без фактчекеров
